id,name,type,is_active,priority,last_run_at,total_leads_generated,total_companies_discovered,cost_per_lead,config,created_at
1,google_maps_places_api,api,0,1,2026-06-12 09:02:06,0,,0,"{""description"":""Google Maps Places API - free tier 30k req/mo"",""api_name"":""Places API"",""endpoint"":""https://maps.googleapis.com/maps/api/place/textsearch/json"",""query_template"":""{query} en {city}"",""cost_per_request"":0,""monthly_free_quota"":30000}",2026-06-12 08:58:37
2,google_maps_nearby_search,api,0,2,2026-06-12 09:02:06,0,,0,"{""description"":""Google Maps Nearby Search - find by location"",""api_name"":""Nearby Search"",""endpoint"":""https://maps.googleapis.com/maps/api/place/nearbysearch/json"",""cost_per_request"":0,""monthly_free_quota"":30000}",2026-06-12 08:58:37
3,directorio_mx,scraper,1,3,2026-06-12 09:02:06,0,,0,"{""description"":""Directorio MX - public business directory"",""base_url"":""https://www.directorio.com.mx"",""type"":""free_directory""}",2026-06-12 08:58:37
4,seccion_amarilla_mx,scraper,1,4,2026-06-12 09:02:06,0,,0,"{""description"":""Seccion Amarilla Mexico"",""base_url"":""https://www.seccionamarilla.com.mx"",""type"":""free_directory""}",2026-06-12 08:58:37
5,manual_import,manual,1,0,,0,0,0,"{""description"":""CSV manual import from Victor""}",2026-06-12 08:58:37
